
No.     Name     Sex     Age     Score
101     Zhang    M       19      95.60
102     Wang     F       18      92.40
103     Zhao     M       19      85.70
104     Li       M       20      96.30
105     Gou      M       19      90.20
106     Lin      M       18      91.50
107     Ma       F       17      98.70
108     Zhen     M       21      90.10
109     Xu       M       19      89.80
110     Mao      F       18      94.90

No.     Name     Sex     Age     Score
101     Zhang    M       19      95.60
105     Gou      M       19      90.20
104     Li       M       20      96.30
106     Lin      M       18      91.50
107     Ma       F       17      98.70
102     Wang     F       18      92.40
109     Xu       M       19      89.80
103     Zhao     M       19      85.70
108     Zhen     M       21      90.10
110     Mao      F       18      94.90

